entity_id,state,last_changed
sensor.available_current_l1,3,2025-05-01T11:49:51.512Z
sensor.available_current_l1,6,2025-05-01T11:49:52.858Z
sensor.available_current_l1,5,2025-05-01T11:50:58.483Z
sensor.available_current_l1,3,2025-05-01T11:50:59.884Z
sensor.available_current_l1,6,2025-05-01T11:51:01.215Z
sensor.available_current_l1,3,2025-05-01T11:51:43.931Z
sensor.available_current_l1,5,2025-05-01T11:51:44.932Z
sensor.available_current_l1,6,2025-05-01T11:51:45.934Z
sensor.available_current_l1,2,2025-05-01T11:52:28.477Z
sensor.available_current_l1,6,2025-05-01T11:52:29.816Z
sensor.available_current_l1,4,2025-05-01T11:53:04.910Z
sensor.available_current_l1,6,2025-05-01T11:53:06.118Z
sensor.available_current_l1,2,2025-05-01T11:53:38.859Z
sensor.available_current_l1,5,2025-05-01T11:53:39.860Z
sensor.available_current_l1,6,2025-05-01T11:53:41.094Z
sensor.available_current_l1,3,2025-05-01T11:54:23.868Z
sensor.available_current_l1,6,2025-05-01T11:54:24.877Z
sensor.available_current_l1,5,2025-05-01T11:55:08.884Z
sensor.available_current_l1,6,2025-05-01T11:55:10.073Z
sensor.available_current_l1,4,2025-05-01T11:56:05.877Z
sensor.available_current_l1,3,2025-05-01T11:56:06.878Z
sensor.available_current_l1,6,2025-05-01T11:56:08.129Z
sensor.available_current_l1,2,2025-05-01T11:56:50.838Z
sensor.available_current_l1,6,2025-05-01T11:56:52.114Z
sensor.available_current_l1,2,2025-05-01T11:57:55.924Z
sensor.available_current_l1,6,2025-05-01T11:57:56.941Z
sensor.available_current_l1,4,2025-05-01T11:58:40.153Z
sensor.available_current_l1,6,2025-05-01T11:58:41.521Z
sensor.available_current_l1,5,2025-05-01T11:59:45.859Z
sensor.available_current_l1,6,2025-05-01T11:59:48.144Z
sensor.available_current_l1,9,2025-05-01T12:00:04.517Z
sensor.available_current_l1,10,2025-05-01T12:00:05.658Z
sensor.available_current_l1,12,2025-05-01T12:00:06.996Z
sensor.available_current_l1,11,2025-05-01T12:00:14.531Z
sensor.available_current_l1,12,2025-05-01T12:00:15.937Z
sensor.available_current_l1,10,2025-05-01T12:00:30.960Z
sensor.available_current_l1,12,2025-05-01T12:00:32.212Z
sensor.available_current_l1,13,2025-05-01T12:01:05.972Z
sensor.available_current_l1,12,2025-05-01T12:01:14.406Z
sensor.available_current_l1,9,2025-05-01T12:01:15.699Z
sensor.available_current_l1,13,2025-05-01T12:01:16.826Z
sensor.available_current_l1,12,2025-05-01T12:02:13.112Z
sensor.available_current_l1,11,2025-05-01T12:02:24.111Z
sensor.available_current_l1,9,2025-05-01T12:02:25.482Z
sensor.available_current_l1,12,2025-05-01T12:02:27.012Z
sensor.available_current_l1,13,2025-05-01T12:02:41.974Z
sensor.available_current_l1,12,2025-05-01T12:02:44.107Z
sensor.available_current_l1,9,2025-05-01T12:03:09.924Z
sensor.available_current_l1,11,2025-05-01T12:03:10.923Z
sensor.available_current_l1,12,2025-05-01T12:03:12.120Z
